id,nombre,descripcion,created_at
1,Administración en instituciones confiables y efectivas,Administración en instituciones confiables y efectivas,2024-07-30 17:50:41
2,Educación y calidad de vida,Educación y calidad de vida,2024-07-30 17:50:41
3,Entorno y vida sustentable,Entorno y vida sustentable,2024-07-30 17:50:41
4,Equidad de oportunidades,Equidad de oportunidades,2024-07-30 17:50:41
5,Garantía de derechos y libertad,Garantía de derechos y libertad,2024-07-30 17:50:41
6,Innovación y tecnología,Innovación y tecnología,2024-07-30 17:50:41
