id,nombre,descripcion,created_at
1000,serviciosPersonales,1000 SERVICIOS PERSONALES,2024-01-01 0:00:00
2000,materialesSuministros,2000 MATERIALES Y SUMINISTROS,2024-01-01 0:00:00
3000,serviciosGenerales,3000 SERVICIOS GENERALES,2024-01-01 0:00:00
4000,transferencias,4000 TRANSFERENCIAS ASIGNACIONES SUBSIDIOS Y OTRAS AYUDAS,2024-01-01 0:00:00
5000,bienes,5000 BIENES MUEBLES INMUEBLES E INTANGIBLES,2024-01-01 0:00:00
6000,inversionPublica,6000 INVERSIÓN PÚBLICA,2024-01-01 0:00:00
7000,invercionesFinancieras,7000 INVERSIONES FINANCIERAS Y OTRAS PROVISIONES,2024-01-01 0:00:00
8000,aportaciones,8000 PARTICIPACIONES Y APORTACIONES,2024-01-01 0:00:00
9000,deudaPublica,9000 DEUDA PÚBLICA,2024-01-01 0:00:00
