id,nombre,descripcion,created_at
1,RVOE FEDERAL,RVOE Federal,2018-08-20 0:00:00
2,RVOE ESTATAL,RVOE Estatal,2018-08-20 0:00:00
3,AUTORIZACIÓN FEDERAL,Autorización Federal,2018-08-20 0:00:00
4,AUTORIZACIÓN ESTATAL,Autorización Estatal,2018-08-20 0:00:00
5,ACTA DE SESIÓN,Acta de sesión,2018-08-20 0:00:00
6,ACUERDO DE INCORPORACIÓN,Acuerdo de Incorporación,2018-08-20 0:00:00
7,ACUERDO SECRETARIAL SEP,Acuerdo Secretarial SEP,2018-08-01 0:00:00
8,DECRETO DE CREACIÓN,Decreto de Creación,2018-08-01 0:00:00
9,OTRO,Otro,2018-08-01 0:00:00
