id,programa_id,nombre,descripcion,created_at,updated_at,deleted_at
60,50,2020A,SEMESTRAL,2020/04/30 20:47,1900/01/01 00:00,1900/01/01 00:00
61,96,2016B,CUATRIMESTRAL,2020/04/30 22:18,1900/01/01 00:00,1900/01/01 00:00
62,96,2016C,CUATRIMESTRAL,2020/04/30 22:54,1900/01/01 00:00,1900/01/01 00:00
63,96,2017A,CUATRIMESTRAL,2020/05/01 00:14,1900/01/01 00:00,1900/01/01 00:00
64,96,2017B,CUATRIMESTRAL,2020/05/01 01:02,1900/01/01 00:00,1900/01/01 00:00
65,96,2017C,CUATRIMESTRAL,2020/05/01 01:28,1900/01/01 00:00,1900/01/01 00:00
66,96,2018A,CUATRIMESTRAL,2020/05/01 09:32,1900/01/01 00:00,1900/01/01 00:00
67,96,2018B,CUATRIMESTRAL,2020/05/01 09:55,1900/01/01 00:00,1900/01/01 00:00
68,96,2018C,CUATRIMESTRAL,2020/05/01 10:21,1900/01/01 00:00,1900/01/01 00:00
69,96,2019A,CUATRIMESTRAL,2020/05/01 10:44,1900/01/01 00:00,1900/01/01 00:00
70,96,2017B,CUATRIMESTRAL,2020/05/01 18:27,2020/05/01 18:32,1900/01/01 00:00
71,96,2017C,CUATRIMESTRAL,2020/05/01 19:01,1900/01/01 00:00,1900/01/01 00:00
72,96,2018A,CUATRIMESTRAL,2020/05/01 19:28,1900/01/01 00:00,1900/01/01 00:00
73,193,2016A,SEMESTRE ,2020/05/01 19:41,1900/01/01 00:00,1900/01/01 00:00
74,193,2016B,SEMESTRE ,2020/05/01 19:42,2020/05/01 19:48,1900/01/01 00:00
75,193,2017A,SEMESTRE ,2020/05/01 19:42,2020/05/01 19:42,1900/01/01 00:00
76,193,2017B,SEMESTRE ,2020/05/01 19:43,1900/01/01 00:00,1900/01/01 00:00
77,193,2018A,SEMESTRE ,2020/05/01 19:43,1900/01/01 00:00,1900/01/01 00:00
78,193,2018B,SEMESTRE ,2020/05/01 19:43,1900/01/01 00:00,1900/01/01 00:00
79,193,2019A,SEMESTRE ,2020/05/01 19:43,1900/01/01 00:00,1900/01/01 00:00
80,193,2019B,SEMESTRE ,2020/05/01 19:43,1900/01/01 00:00,1900/01/01 00:00
81,197,2016B,SEMESTRE ,2020/05/01 19:45,1900/01/01 00:00,1900/01/01 00:00
82,197,2017A,SEMESTRE ,2020/05/01 19:46,1900/01/01 00:00,1900/01/01 00:00
83,197,2017B,SEMESTRE ,2020/05/01 19:46,2020/05/02 14:49,1900/01/01 00:00
84,197,2018A,SEMESTRE ,2020/05/02 14:50,1900/01/01 00:00,1900/01/01 00:00
85,96,2018B,CUATRIMESTRAL,2020/05/03 11:58,1900/01/01 00:00,1900/01/01 00:00
86,96,2018C,CUATRIMESTRAL,2020/05/03 12:40,1900/01/01 00:00,1900/01/01 00:00
87,96,2019A,CUATRIMESTRAL,2020/05/03 13:26,1900/01/01 00:00,1900/01/01 00:00
88,96,2019B,CUATRIMESTRAL,2020/05/03 15:02,1900/01/01 00:00,1900/01/01 00:00
89,96,2019C,CUATRIMESTRAL,2020/05/03 15:46,1900/01/01 00:00,1900/01/01 00:00
90,96,2020A,CUATRIMESTRAL,2020/05/03 16:07,1900/01/01 00:00,1900/01/01 00:00
91,210,2018B,CUATRIMESTRAL,2020/05/04 13:11,1900/01/01 00:00,1900/01/01 00:00
92,210,2018C,CUATRIMESTRAL,2020/05/04 13:19,1900/01/01 00:00,1900/01/01 00:00
93,210,2019A,CUATRIMESTRAL,2020/05/04 13:28,1900/01/01 00:00,1900/01/01 00:00
94,210,2019B,CUATRIMESTRAL,2020/05/04 13:35,1900/01/01 00:00,1900/01/01 00:00
95,210,2019C,CUATRIMESTRAL,2020/05/04 14:05,1900/01/01 00:00,1900/01/01 00:00
96,210,2020A,CUATRIMESTRAL,2020/05/04 14:43,1900/01/01 00:00,1900/01/01 00:00
