id,nombre,descripcion,created_at
1,ART. 52 LRART. 5 CONST,ART. 52 LRART. 5 CONST,2018-11-11 0:00:00
2,ART. 55 LRART. 5 CONST,ART. 55 LRART. 5 CONST,2018-11-21 0:00:00
3,ART. 91 RLRART. 5 CONST,ART. 91 RLRART. 5 CONST,2018-11-21 0:00:00
4,ART. 10 REGLAMENTO PARA LA PRESTACIÓN DEL SERVICIO SOCIAL DE LOS ESTUDIANTES DE LAS INSTITUCIONES DE EDUCACIÓN SUPERIOR EN LA REPÚBLICA MEXICANA,ART. 10 REGLAMENTO PARA LA PRESTACIÓN DEL SERVICIO SOCIAL DE LOS ESTUDIANTES DE LAS INSTITUCIONES DE EDUCACIÓN SUPERIOR EN LA REPÚBLICA MEXICANA,2018-11-21 0:00:00
5,NO APLICA,NO APLICA,2018-11-21 0:00:00
