id,municipio_id,estado_id,calle,numero_exterior,numero_interior,colonia,codigo_postal,latitud,longitud,created_at,updated_at,deleted_at
60,533,14,Av. Patria,1286,0,Villa Universitaria,45110,20.69339772,-103.4148431,2019/10/04 13:48,2022/07/02 12:51
61,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2019/10/09 14:22,2019/10/10 16:21
62,533,14,Av. Vallarta,7239,0,Ciudad Granja,45010,20.68769678,-103.4457099,2019/10/09 14:22,2019/10/10 16:21
63,533,14,San Demetrio,3791,0,Jardines de San Ignacio,45040,0,0,2019/10/10 17:04,2023/04/20 13:07
64,532,14,Av. Americas,3,148,Americana,44600,20.67580352,-103.3739252,2019/10/10 17:04,2021/10/07 11:04
65,532,14,Av. Américas No. 696,696,0,Ladrón de Guevara,44600,0,0,2019/10/11 18:07,2019/11/06 14:54
66,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2019/10/17 16:28,2022/02/08 16:07
67,532,14,Garibaldi,288,0,Centro,44280,20.68116115,-103.3537912,2019/10/17 16:28,2019/10/22 17:27
68,532,14,Av. Hidalgo,1310,0,Americana,44160,20.67713888,-103.3656742,2019/10/22 10:10,2019/11/12 14:05
69,532,14,Av. Enrique Díaz de León,90,0,Centro,46100,20.67789906,-103.3592543,2019/10/22 11:44,2021/10/25 12:49
70,533,14,Bugambilias,98,0,Rancho Contento,45019,0,0,2019/10/22 13:05,2023/08/22 17:53
71,532,14,Palermo ,3060,0,lomas del valle,44670,20.69139539,-103.3963037,2019/10/22 13:05,2023/01/16 11:24
72,532,14,av.Emrique Díaz De León,324,0,Americana,44100,0,0,2019/10/22 14:35
73,532,14,Av. Federalismo Sur ,425,0,Centro,44100,20.67024442,-103.3545081,2019/10/23 13:05,2023/02/07 09:27
74,532,14,Melpomene,2543,81,Lomas Independencia,44370,0,0,2019/10/23 13:37,2023/09/05 13:41
75,536,14,López Cotilla,19,0,Centro,45300,20.64868405,-103.7030942,2019/10/24 13:41,2019/10/25 10:07
76,536,14,López Cotilla ,75,A,Centro,45300,0,0,2019/10/24 13:50,2023/02/27 21:34
77,599,14,INDEPENDENCIA,No. 53,0,CENTRO,47750,0,0,2019/10/24 15:42,2022/06/22 07:55
78,599,14,Independencia,53,0,Centro,47750,20.54886732,-102.5071987,2019/10/24 15:42,2019/11/04 12:41
79,532,14,Av. Enrique Díaz de León,404,0,Colonia Americana,44100,20.67073886,-103.3596908,2019/10/24 16:32,2023/03/23 11:29
80,532,14,Chichimecas,776,B,Monraz,44600,0,0,2019/10/24 17:16,2022/03/16 15:56
81,536,14,Lopez Cotilla,19,0,Centro,45300,20.64803675,-103.7030517,2019/10/25 10:18,2019/10/25 11:02
82,536,14,LOPEZ COTILLA,19,0,CENTRO,45300,20.64803534,-103.7030191,2019/10/25 11:11,2019/10/30 15:17
83,536,14,López Cotilla ,19,0,CENTRO,45300,20.64862721,-103.7030284,2019/10/25 11:20,2023/02/27 21:34
84,544,14,Paseo de los Laureles,257,0,Fraccionamiento el Palomar,45643,0,0,2019/10/29 14:55,2023/03/28 14:44
85,532,14,Av.Marcelino García Barragán ,1514,0,Olímpica,43115,20.65394851,-103.3267272,2019/10/29 14:55,2023/03/28 14:44
86,532,14,SALVADOR DIAZ MIRON,157,0,STA MARIA LA RIBERA,6400,0,0,2019/10/30 14:21,2021/10/05 19:01
