id,estado_id,nombre,created_at
134,7,Larráinzar,2022-02-22 11:03:56
135,7,Santiago el Pinar,2022-02-22 11:03:56
136,7,Chenalhó,2022-02-22 11:03:56
137,7,Aldama,2022-02-22 11:03:56
138,7,Pantelhó,2022-02-22 11:03:56
139,7,Sitalá,2022-02-22 11:03:56
140,7,Salto de Agua,2022-02-22 11:03:56
141,7,Tila,2022-02-22 11:03:56
142,7,Tumbalá,2022-02-22 11:03:56
143,7,Yajalón,2022-02-22 11:03:56
144,7,Ocosingo,2022-02-22 11:03:56
145,7,Chilón,2022-02-22 11:03:56
146,7,Benemérito de las Américas,2022-02-22 11:03:56
147,7,Marqués de Comillas,2022-02-22 11:03:56
148,7,Palenque,2022-02-22 11:03:56
149,7,La Libertad,2022-02-22 11:03:56
150,7,Catazajá,2022-02-22 11:03:56
151,7,Comitán de Domínguez,2022-02-22 11:03:56
152,7,Tzimol,2022-02-22 11:03:56
153,7,Chicomuselo,2022-02-22 11:03:56
154,7,Bella Vista,2022-02-22 11:03:56
155,7,Frontera Comalapa,2022-02-22 11:03:56
156,7,La Trinitaria,2022-02-22 11:03:56
157,7,La Independencia,2022-02-22 11:03:56
158,7,Maravilla Tenejapa,2022-02-22 11:03:56
159,7,Las Margaritas,2022-02-22 11:03:56
160,7,Altamirano,2022-02-22 11:03:56
161,7,Venustiano Carranza,2022-02-22 11:03:56
162,7,Totolapa,2022-02-22 11:03:56
163,7,Nicolás Ruíz,2022-02-22 11:03:56
164,7,Las Rosas,2022-02-22 11:03:56
165,7,La Concordia,2022-02-22 11:03:56
166,7,Angel Albino Corzo,2022-02-22 11:03:56
167,7,Montecristo de Guerrero,2022-02-22 11:03:56
168,7,Socoltenango,2022-02-22 11:03:56
169,7,Cintalapa,2022-02-22 11:03:56
170,7,Jiquipilas,2022-02-22 11:03:56
171,7,Arriaga,2022-02-22 11:03:56
172,7,Villaflores,2022-02-22 11:03:56
173,7,Tonalá,2022-02-22 11:03:56
174,7,Villa Corzo,2022-02-22 11:03:56
175,7,Pijijiapan,2022-02-22 11:03:56
176,7,Mapastepec,2022-02-22 11:03:56
177,7,Acapetahua,2022-02-22 11:03:56
178,7,Acacoyagua,2022-02-22 11:03:56
179,7,Escuintla,2022-02-22 11:03:56
180,7,Villa Comaltitlán,2022-02-22 11:03:56
181,7,Huixtla,2022-02-22 11:03:56
182,7,Mazatán,2022-02-22 11:03:56
183,7,Huehuetán,2022-02-22 11:03:56
184,7,Tuzantán,2022-02-22 11:03:56
185,7,Tapachula,2022-02-22 11:03:56
186,7,Suchiate,2022-02-22 11:03:56
187,7,Frontera Hidalgo,2022-02-22 11:03:56
188,7,Metapa,2022-02-22 11:03:56
189,7,Tuxtla Chico,2022-02-22 11:03:56
190,7,Unión Juárez,2022-02-22 11:03:56
191,7,Cacahoatán,2022-02-22 11:03:56
192,7,Motozintla,2022-02-22 11:03:56
193,7,Mazapa de Madero,2022-02-22 11:03:56
194,7,Amatenango de la Frontera,2022-02-22 11:03:56
195,7,Bejucal de Ocampo,2022-02-22 11:03:56
196,7,La Grandeza,2022-02-22 11:03:56
197,7,El Porvenir,2022-02-22 11:03:56
198,7,Siltepec,2022-02-22 11:03:56
199,8,Chihuahua,2022-02-22 11:03:56
200,8,Cuauhtémoc,2022-02-22 11:03:56
201,8,Riva Palacio,2022-02-22 11:03:56
202,8,Aquiles Serdán,2022-02-22 11:03:56
203,8,Bachíniva,2022-02-22 11:03:56
204,8,Guerrero,2022-02-22 11:03:56
205,8,Nuevo Casas Grandes,2022-02-22 11:03:56
206,8,Ascensión,2022-02-22 11:03:56
207,8,Janos,2022-02-22 11:03:56
208,8,Casas Grandes,2022-02-22 11:03:56
209,8,Galeana,2022-02-22 11:03:56
210,8,Buenaventura,2022-02-22 11:03:56
211,8,Gómez Farías,2022-02-22 11:03:56
212,8,Ignacio Zaragoza,2022-02-22 11:03:56
213,8,Madera,2022-02-22 11:03:56
214,8,Namiquipa,2022-02-22 11:03:56
215,8,Temósachic,2022-02-22 11:03:56
216,8,Matachí,2022-02-22 11:03:56
217,8,Juárez,2022-02-22 11:03:56
218,8,Guadalupe,2022-02-22 11:03:56
219,8,Praxedis G. Guerrero,2022-02-22 11:03:56
