id,programa_id,turno_id,created_at,updated_at
100,60,4,2019/11/05 18:05,2019/11/06 13:40
101,61,4,2019/11/05 18:18,2019/11/06 13:40
102,62,4,2019/11/05 18:31,2019/11/06 13:54
103,63,4,2019/11/05 18:40,2019/11/06 13:53
104,64,4,2019/11/06 11:40,2019/11/06 13:52
105,65,4,2019/11/06 12:00,2019/11/06 13:53
106,66,4,2019/11/06 12:24,2019/11/06 13:52
107,67,4,2019/11/06 12:45,2019/11/06 13:50
108,68,4,2019/11/06 13:05,2019/11/06 13:54
109,69,4,2019/11/06 16:11,2019/11/08 12:59
110,70,1,2019/11/06 16:33,2019/11/12 10:45
111,70,2,2019/11/06 16:33,2019/11/12 10:45
112,70,3,2019/11/06 16:33,2019/11/12 10:45
113,70,4,2019/11/06 16:33,2019/11/12 10:45
114,71,1,2019/11/07 10:22,2019/11/12 10:52
115,71,2,2019/11/07 10:22,2019/11/12 10:52
116,71,3,2019/11/07 10:22,2019/11/12 10:52
117,71,4,2019/11/07 10:22,2019/11/12 10:52
118,72,4,2019/11/07 11:09,2019/11/11 13:18
119,73,4,2019/11/07 14:28,2019/11/13 13:54
120,74,4,2019/11/11 08:47,2019/11/12 16:48
121,75,2,2019/11/11 12:36,2019/11/13 11:06
122,76,1,2019/11/11 14:32,2019/11/13 14:22
123,76,2,2019/11/11 14:32,2019/11/13 14:22
124,77,1,2019/11/11 16:19,2019/11/28 16:22
125,77,2,2019/11/11 16:19,2019/11/28 16:22
126,77,3,2019/11/11 16:19,2019/11/28 16:22
127,78,1,2019/11/12 13:03,2019/11/13 15:26
128,78,2,2019/11/12 13:03,2019/11/13 15:26
129,79,1,2019/11/12 13:48,2019/11/28 16:41
130,79,2,2019/11/12 13:48,2019/11/28 16:41
131,79,3,2019/11/12 13:48,2019/11/28 16:41
132,79,4,2019/11/12 13:48,2019/11/28 16:41
133,80,1,2019/11/13 10:32,2019/12/02 13:26
134,80,2,2019/11/13 10:32,2019/12/02 13:26
135,80,3,2019/11/13 10:32,2019/12/02 13:26
136,81,4,2019/11/14 09:29,2019/11/27 11:12
137,82,4,2019/11/14 10:10,2019/11/29 13:29
138,83,4,2019/11/14 10:21,2019/11/26 12:51
139,84,4,2019/11/14 10:27,2019/11/27 11:47
140,85,1,2019/11/15 11:25,1900/01/01 00:00
141,85,4,2019/11/15 11:25,1900/01/01 00:00
142,86,1,2019/11/15 11:43,2019/11/15 14:19
143,86,2,2019/11/15 11:43,2019/11/15 14:19
144,86,4,2019/11/15 11:43,2019/11/15 14:19
145,87,1,2019/11/15 12:08,2022/02/22 11:48
146,87,4,2019/11/15 12:08,2022/02/22 12:02
147,88,4,2019/11/15 16:25,2021/10/16 11:07
148,89,2,2019/11/20 11:16,2019/11/22 16:43
149,89,3,2019/11/20 11:16,2019/11/22 16:43
150,89,4,2019/11/20 11:16,2019/11/22 16:43
