id,ciclo_escolar_id,turno_id,grado_id,descripcion,grupo,generacion,generacion_fecha_inicio,generacion_fecha_fin,created_at,updated_at,deleted_at
42,17,1,4,Cuarto cuatrimestre,C,2017C - 2020A,2017/08/28,2020-04-00,2020/03/24 16:03,1900/01/01 00:00,1900/01/01 00:00
43,18,1,5,Quinto cuatrimestre,C,2017C - 2020A,2017/08/28,2020-04-00,2020/03/24 17:35,1900/01/01 00:00,1900/01/01 00:00
44,19,1,6,Sexto cuatrimestre,C,2017C - 2020A,2017/08/28,2020-04-00,2020/03/24 18:17,1900/01/01 00:00,1900/01/01 00:00
45,20,1,7,Septimo cuatrimestre,C,2017C - 2020A,2017/08/28,2020-04-00,2020/03/24 19:33,1900/01/01 00:00,1900/01/01 00:00
46,21,1,8,Octavo cuatrimestre,C,2017C - 2020A,2017/08/28,2020/04/24,2020/03/24 20:38,1900/01/01 00:00,1900/01/01 00:00
47,15,1,1,Primer cuatrimestre,A,2018A - 2020B,2018/01/08,2020-08-00,2020/03/27 22:58,1900/01/01 00:00,1900/01/01 00:00
48,16,1,2,Segundo cuatrimestre,A,2018A - 2020B,2018/01/08,2020-08-00,2020/03/27 23:27,1900/01/01 00:00,1900/01/01 00:00
49,17,1,3,Tercero cuatrimestre,A,2018A - 2020B,2018/01/08,2020-08-00,2020/03/30 13:39,1900/01/01 00:00,1900/01/01 00:00
50,18,1,4,Cuarto cuatrimestre,A,2018A - 2020B,2018/01/08,2020-08-00,2020/03/30 14:58,1900/01/01 00:00,1900/01/01 00:00
51,19,1,5,Quinto cuatrimestre,A,2018A - 2020B,2018/01/08,2020-08-00,2020/03/30 15:36,1900/01/01 00:00,1900/01/01 00:00
52,1,4,1,Primer cuatrimestre,B,2018-2021,2018/08/27,2021/08/20,2020/04/03 13:04,1900/01/01 00:00,1900/01/01 00:00
53,22,4,1,Primer cuatrimestre,B,2018-2021,2018/08/27,2021/08/20,2020/04/03 13:32,1900/01/01 00:00,1900/01/01 00:00
54,23,4,13,Primer semestre,A/M,2018A-2021B,2018/03/05,2022/02/28,2020/04/03 13:44,1900/01/01 00:00,1900/01/01 00:00
55,22,4,1,Primer cuatrimestre,A,2018C-2021C,2018/08/28,2021/08/20,2020/04/03 13:46,1900/01/01 00:00,1900/01/01 00:00
56,24,4,13,Primer semestre,A,2018B-2022A,2018/09/03,2019/02/08,2020/04/03 14:04,1900/01/01 00:00,1900/01/01 00:00
57,23,4,13,Primer semestre,A/N,2018A-2021 B,2018/03/05,0000-00-00,2020/04/03 14:18,1900/01/01 00:00,1900/01/01 00:00
58,25,4,13,Primer semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/21 10:32,1900/01/01 00:00,1900/01/01 00:00
59,26,4,1,Primer cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/04/21 15:40,1900/01/01 00:00,1900/01/01 00:00
60,25,4,14,Segundo semestre,A,2017A,2016/09/05,2020/08/07,2020/04/22 10:00,2020/04/30 19:43,1900/01/01 00:00
61,25,4,15,Tercero semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/22 12:09,1900/01/01 00:00,1900/01/01 00:00
62,25,4,16,Cuarto semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/22 12:37,1900/01/01 00:00,1900/01/01 00:00
